Resolution,1920,1080,Distance,58.8,Width,48.5,Subject,01034,Test,CC9-03022018-114055,Calibration,CC9-03022018-114055
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
1907,0.272082,12.521,0,12.5926,0.103,-0.0681933,0.272082,-0.0716077,1974.69,0.374096,12.4797,0
1918,0.270115,12.5089,0,12.5926,-0.178744,-1.09888,0.270115,-0.0836953,1981.28,0.230862,12.4839,0
1928,0.249163,12.4932,0,12.5926,-2.09529,-1.57049,0.249163,-0.0994003,1989,0.220802,12.5801,0
1939,0.198729,12.4986,0,12.5926,-4.58484,0.484497,0.198729,-0.0940708,1995.28,0.171573,12.4792,0
1947,0.165571,12.5098,0,12.5926,-4.14481,1.40691,0.165571,-0.0828155,1999.3,0.144014,12.4834,0
1960,0.166303,12.5311,0,12.5926,0.0563555,1.63956,0.166303,-0.0615013,2001.52,0.152824,12.5583,0
1968,0.166675,12.5226,0,12.5926,0.0464788,-1.06889,0.166675,-0.0700525,2002.76,0.160006,12.5159,0
1979,0.196839,12.5292,0,12.5926,2.74213,0.598109,0.196839,-0.0634733,2003.51,0.241165,12.5296,0
1987,0.232158,12.5399,0,12.5926,4.41489,1.33737,0.232158,-0.0527743,2003.91,0.264169,12.5055,0
1999,0.235025,12.554,0,12.5926,0.238938,1.17786,0.235025,-0.0386399,2004.11,0.24345,12.6222,0
2007,0.237316,12.5768,0,12.5926,0.286368,2.85704,0.237316,-0.0157836,2004.19,0.238628,12.7072,0
2019,0.23818,12.5855,0,12.5926,0.071994,0.718378,0.23818,-0.00716305,2004.22,0.217202,12.6012,0
2027,0.238827,12.5908,0,12.5926,0.0809352,0.663588,0.238827,-0.00185435,2004.25,0.199782,12.5828,0
2039,0.241207,12.5907,0,12.5926,0.198276,-0.00431887,0.241207,-0.00190617,2004.25,0.302999,12.5888,0
2047,0.235417,12.5914,0,12.5926,-0.723726,0.0832994,0.235417,-0.00123978,2004.19,0.256781,12.5872,0
2060,0.22531,12.5934,0,12.5926,-0.777489,0.15621,0.22531,0.000790948,2004.08,0.240945,12.5814,0
2072,0.214563,12.6143,0,12.5926,-0.895553,1.7416,0.214563,0.0216901,2003.94,0.128696,12.6877,0
2079,0.153086,12.6205,0,12.5926,-8.78244,0.886728,0.153086,0.0278972,2003.82,-0.0173895,12.7165,0
